Source,Target
14290960,3425602487
14290960,151099171
14290960,64721582
14290960,91438333
14290960,84860294
14290960,822424698831118336
14290960,1053109915676540929
1052974335877664770,94273161
1052974335877664770,464441680
1052974335877664770,928189746324688896
1052974335877664770,184168121
1052974335877664770,889269338410295296
1052974335877664770,159796963
1052974335877664770,2419568798
900742401714774018,464441680
900742401714774018,1469938638
900742401714774018,317429351
900742401714774018,439781248
900742401714774018,2970440088
900742401714774018,769544403119513606
2334067319,894057794
489134363,16284873
489134363,931521614029746176
489134363,1247781763
489134363,464441680
489134363,959057649764589568
489134363,982971805555154944
489134363,2999238655
489134363,893213172534005761
489134363,893054809384923136
489134363,3360917759
489134363,988868805697916929
489134363,4113715517
489134363,83751169
489134363,577024634
489134363,14706611
489134363,3171619689
489134363,33429317
489134363,35171476
790552376117714944,464441680
790552376117714944,359188534
790552376117714944,373277601
790552376117714944,191606021
790552376117714944,425834136
790552376117714944,4162410142
790552376117714944,2210397950
425834136,979644309694795777
425834136,877869314346557440
425834136,2786023714
425834136,4008799216
425834136,889269338410295296
425834136,1064807033457831936
425834136,464441680
425834136,2785237306
425834136,1056132928655294464
425834136,18332930
425834136,1412305184
425834136,1027820048461774848
425834136,1001363060567797760
425834136,801775381720219648
425834136,1131295410
425834136,984094806614913025
425834136,159796963
425834136,38736570
425834136,514786575
425834136,3425602487
425834136,3372201089
425834136,345310708
425834136,864094962459316226
425834136,4744604367
425834136,2998016405
425834136,826175206070812672
425834136,22151505
425834136,822424698831118336
425834136,59805032
425834136,4481168962
425834136,750286186392977409
425834136,730113241439993856
425834136,19040631
425834136,2168094626
425834136,790552376117714944
425834136,775957010533666816
425834136,773489936687304704
425834136,740432556382904321
425834136,742663751934062592
425834136,3280014502
425834136,1388889006
425834136,91394075
425834136,2911564642
425834136,3290220868
425834136,3228608710
425834136,95394865
425834136,317429351
425834136,2971444366
425834136,4162410142
425834136,3321088978
425834136,14873669
425834136,2232171540
425834136,3198095872
425834136,629155988
425834136,41965769
425834136,3224560492
425834136,52122990
425834136,94273161
425834136,390641663
425834136,2907514331
425834136,267135540
425834136,2601723926
425834136,2210397950
425834136,1875231679
425834136,2388689280
425834136,14861044
425834136,2342200676
425834136,2382230922
425834136,1065429840
425834136,1400691313
425834136,1346705258
425834136,1878886411
425834136,191606021
425834136,63461239
425834136,1429810189
425834136,865971338
425834136,1569018049
425834136,373277601
425834136,1355203866
425834136,366010244
425834136,797888456
425834136,502776184
425834136,1062831254
425834136,577024634
425834136,14388146
425834136,268961390
425834136,822093481
425834136,48309940
425834136,391926702
425834136,519036960
425834136,61762488
425834136,143559488
425834136,220958965
184168121,464441680
184168121,2419568798
184168121,1052974335877664770
