Id,Label,Link
1346705258,GabrieleRadecke,https://twitter.com/GabrieleRadecke
1878886411,DARIAHde,https://twitter.com/DARIAHde
63461239,textloop,https://twitter.com/textloop
1429810189,JCrueger,https://twitter.com/JCrueger
865971338,digicademy,https://twitter.com/digicademy
1569018049,digigw,https://twitter.com/digigw
1355203866,true_mxp,https://twitter.com/true_mxp
366010244,GregorReisch,https://twitter.com/GregorReisch
797888456,smithersdeluxe,https://twitter.com/smithersdeluxe
502776184,RuthReiche,https://twitter.com/RuthReiche
1062831254,karolinedoering,https://twitter.com/karolinedoering
14388146,rotula,https://twitter.com/rotula
268961390,EMSteiger,https://twitter.com/EMSteiger
822093481,HistMonast,https://twitter.com/HistMonast
48309940,alexczmiel,https://twitter.com/alexczmiel
391926702,RappAndrea,https://twitter.com/RappAndrea
519036960,MariaRottler,https://twitter.com/MariaRottler
61762488,christof77,https://twitter.com/christof77
143559488,aurelberra,https://twitter.com/aurelberra
220958965,dighum_berlin,https://twitter.com/dighum_berlin
839068743313555456,ellenkorbes,https://twitter.com/ellenkorbes
914894991666892800,ProfMoeller,https://twitter.com/ProfMoeller
139680414,UniLeipzig,https://twitter.com/UniLeipzig
18832506,ekron,https://twitter.com/ekron
354837448,thkania,https://twitter.com/thkania
399987110,SabineBartsch,https://twitter.com/SabineBartsch
788466927446392832,AWeyell,https://twitter.com/AWeyell
3130669605,MAPubli,https://twitter.com/MAPubli
724908010724843520,MissJonesTravel,https://twitter.com/MissJonesTravel
2794526321,KiesslingS,https://twitter.com/KiesslingS
287625142,kristinamusholt,https://twitter.com/kristinamusholt
865112393508114432,nwagenk,https://twitter.com/nwagenk
2715881644,TursiopsA,https://twitter.com/TursiopsA
1100786024,GoetheUni100,https://twitter.com/GoetheUni100
759851228192923648,HD_Text_eV,https://twitter.com/HD_Text_eV
76315366,ubleipzig,https://twitter.com/ubleipzig
545179864,JanineGeorg,https://twitter.com/JanineGeorg
426464148,camehn,https://twitter.com/camehn
71790389,gerstorfer,https://twitter.com/gerstorfer
30866639,Stebbard,https://twitter.com/Stebbard
1063386622387863552,SynodofDort400,https://twitter.com/SynodofDort400
478938666,NicoNolden,https://twitter.com/NicoNolden
121146036,stuffasdreams,https://twitter.com/stuffasdreams
1067366985166741505,FrankysLegacy,https://twitter.com/FrankysLegacy
756922801,K84V,https://twitter.com/K84V
2914724262,p_historians,https://twitter.com/p_historians
34967636,kaischi,https://twitter.com/kaischi
760484680911167488,ANTIKE_WELT,https://twitter.com/ANTIKE_WELT
316396980,George_Tsolakis,https://twitter.com/George_Tsolakis
